productId,name,description,manufactoring_date,expiry_date
1,Alpha Widget 1,High quality widget,2024-01-10,2026-01-10
2,Beta Gadget 2,Advanced gadget for daily use,2024-01-15,2026-01-15
3,Gamma Tool 3,Durable tool for professionals,2024-01-20,2026-01-20
4,Delta Device 4,Compact and efficient device,2024-01-25,2026-01-25
5,Epsilon Gear 5,Precision engineered gear,2024-01-30,2026-01-30
6,Zeta Component 6,Essential component for machines,2024-02-04,2026-02-04
7,Eta Module 7,Modular design for flexibility,2024-02-09,2026-02-09
8,Theta Part 8,High performance part,2024-02-14,2026-02-14
9,Iota Accessory 9,Accessory for multiple uses,2024-02-19,2026-02-19
10,Kappa Unit 10,Unit for industrial applications,2024-02-24,2026-02-24
11,Lambda Widget 11,Next-gen widget,2024-02-29,2026-02-28
12,Mu Gadget 12,Smart gadget for home,2024-03-05,2026-03-05
13,Nu Tool 13,Ergonomic tool,2024-03-10,2026-03-10
14,Xi Device 14,Energy efficient device,2024-03-15,2026-03-15
15,Omicron Gear 15,Heavy-duty gear,2024-03-20,2026-03-20
16,Pi Component 16,Component for electronics,2024-03-25,2026-03-25
17,Rho Module 17,Module for automation,2024-03-30,2026-03-30
18,Sigma Part 18,Precision part,2024-04-04,2026-04-04
19,Tau Accessory 19,Accessory for gadgets,2024-04-09,2026-04-09
20,Upsilon Unit 20,Unit for assembly lines,2024-04-14,2026-04-14
21,Alpha Widget 21,High quality widget,2024-04-19,2026-04-19
22,Beta Gadget 22,Advanced gadget for daily use,2024-04-24,2026-04-24
23,Gamma Tool 23,Durable tool for professionals,2024-04-29,2026-04-29
24,Delta Device 24,Compact and efficient device,2024-05-04,2026-05-04
25,Epsilon Gear 25,Precision engineered gear,2024-05-09,2026-05-09
26,Zeta Component 26,Essential component for machines,2024-05-14,2026-05-14
27,Eta Module 27,Modular design for flexibility,2024-05-19,2026-05-19
28,Theta Part 28,High performance part,2024-05-24,2026-05-24
29,Iota Accessory 29,Accessory for multiple uses,2024-05-29,2026-05-29
30,Kappa Unit 30,Unit for industrial applications,2024-06-03,2026-06-03
31,Lambda Widget 31,Next-gen widget,2024-06-08,2026-06-08
32,Mu Gadget 32,Smart gadget for home,2024-06-13,2026-06-13
33,Nu Tool 33,Ergonomic tool,2024-06-18,2026-06-18
34,Xi Device 34,Energy efficient device,2024-06-23,2026-06-23
35,Omicron Gear 35,Heavy-duty gear,2024-06-28,2026-06-28
36,Pi Component 36,Component for electronics,2024-07-03,2026-07-03
37,Rho Module 37,Module for automation,2024-07-08,2026-07-08
38,Sigma Part 38,Precision part,2024-07-13,2026-07-13
39,Tau Accessory 39,Accessory for gadgets,2024-07-18,2026-07-18
40,Upsilon Unit 40,Unit for assembly lines,2024-07-23,2026-07-23
41,Alpha Widget 41,High quality widget,2024-07-28,2026-07-28
42,Beta Gadget 42,Advanced gadget for daily use,2024-08-02,2026-08-02
43,Gamma Tool 43,Durable tool for professionals,2024-08-07,2026-08-07
44,Delta Device 44,Compact and efficient device,2024-08-12,2026-08-12
45,Epsilon Gear 45,Precision engineered gear,2024-08-17,2026-08-17
46,Zeta Component 46,Essential component for machines,2024-08-22,2026-08-22
47,Eta Module 47,Modular design for flexibility,2024-08-27,2026-08-27
48,Theta Part 48,High performance part,2024-09-01,2026-09-01
49,Iota Accessory 49,Accessory for multiple uses,2024-09-06,2026-09-06
50,Kappa Unit 50,Unit for industrial applications,2024-09-11,2026-09-11
51,Lambda Widget 51,Next-gen widget,2024-09-16,2026-09-16
52,Mu Gadget 52,Smart gadget for home,2024-09-21,2026-09-21
53,Nu Tool 53,Ergonomic tool,2024-09-26,2026-09-26
54,Xi Device 54,Energy efficient device,2024-10-01,2026-10-01
55,Omicron Gear 55,Heavy-duty gear,2024-10-06,2026-10-06
56,Pi Component 56,Component for electronics,2024-10-11,2026-10-11
57,Rho Module 57,Module for automation,2024-10-16,2026-10-16
58,Sigma Part 58,Precision part,2024-10-21,2026-10-21
59,Tau Accessory 59,Accessory for gadgets,2024-10-26,2026-10-26
60,Upsilon Unit 60,Unit for assembly lines,2024-10-31,2026-10-31
61,Alpha Widget 61,High quality widget,2024-11-05,2026-11-05
62,Beta Gadget 62,Advanced gadget for daily use,2024-11-10,2026-11-10
63,Gamma Tool 63,Durable tool for professionals,2024-11-15,2026-11-15
64,Delta Device 64,Compact and efficient device,2024-11-20,2026-11-20
65,Epsilon Gear 65,Precision engineered gear,2024-11-25,2026-11-25
66,Zeta Component 66,Essential component for machines,2024-11-30,2026-11-30
67,Eta Module 67,Modular design for flexibility,2024-12-05,2026-12-05
68,Theta Part 68,High performance part,2024-12-10,2026-12-10
69,Iota Accessory 69,Accessory for multiple uses,2024-12-15,2026-12-15
70,Kappa Unit 70,Unit for industrial applications,2024-12-20,2026-12-20
71,Lambda Widget 71,Next-gen widget,2024-12-25,2026-12-25
72,Mu Gadget 72,Smart gadget for home,2024-12-30,2026-12-30
73,Nu Tool 73,Ergonomic tool,2025-01-04,2027-01-04
74,Xi Device 74,Energy efficient device,2025-01-09,2027-01-09
75,Omicron Gear 75,Heavy-duty gear,2025-01-14,2027-01-14
76,Pi Component 76,Component for electronics,2025-01-19,2027-01-19
77,Rho Module 77,Module for automation,2025-01-24,2027-01-24
78,Sigma Part 78,Precision part,2025-01-29,2027-01-29
79,Tau Accessory 79,Accessory for gadgets,2025-02-03,2027-02-03
80,Upsilon Unit 80,Unit for assembly lines,2025-02-08,2027-02-08
81,Alpha Widget 81,High quality widget,2025-02-13,2027-02-13
82,Beta Gadget 82,Advanced gadget for daily use,2025-02-18,2027-02-18
83,Gamma Tool 83,Durable tool for professionals,2025-02-23,2027-02-23
84,Delta Device 84,Compact and efficient device,2025-02-28,2027-02-28
85,Epsilon Gear 85,Precision engineered gear,2025-03-05,2027-03-05
86,Zeta Component 86,Essential component for machines,2025-03-10,2027-03-10
87,Eta Module 87,Modular design for flexibility,2025-03-15,2027-03-15
88,Theta Part 88,High performance part,2025-03-20,2027-03-20
89,Iota Accessory 89,Accessory for multiple uses,2025-03-25,2027-03-25
90,Kappa Unit 90,Unit for industrial applications,2025-03-30,2027-03-30
91,Lambda Widget 91,Next-gen widget,2025-04-04,2027-04-04
92,Mu Gadget 92,Smart gadget for home,2025-04-09,2027-04-09
93,Nu Tool 93,Ergonomic tool,2025-04-14,2027-04-14
94,Xi Device 94,Energy efficient device,2025-04-19,2027-04-19
95,Omicron Gear 95,Heavy-duty gear,2025-04-24,2027-04-24
96,Pi Component 96,Component for electronics,2025-04-29,2027-04-29
97,Rho Module 97,Module for automation,2025-05-04,2027-05-04
98,Sigma Part 98,Precision part,2025-05-09,2027-05-09
99,Tau Accessory 99,Accessory for gadgets,2025-05-14,2027-05-14
100,Upsilon Unit 100,Unit for assembly lines,2025-05-19,2027-05-19
101,Alpha Widget 101,High quality widget,2025-05-24,2027-05-24
102,Beta Gadget 102,Advanced gadget for daily use,2025-05-29,2027-05-29
103,Gamma Tool 103,Durable tool for professionals,2025-06-03,2027-06-03
